Entity,Code,Day,Number of parameters,Domain
Part-of-sentence tagging model,,2016-05-29,,Language
Parti,,2022-06-22,20000000000,Image generation
Pattern recognition and reading by machine,,1959-12-01,2625,Vision
PeptideBERT,,2023-08-28,,Biology
Perceiver IO,,2020-02-08,425000000,Multimodal
Perceptron (1960),,1960-03-30,1000,Vision
Perceptron Mark I,,1957-01-01,1000,Other
Perceptron for Large Margin Classification,,1999-12-01,,Vision
PermuteFormer,,2021-09-06,33000000,Language
Phenaki,,2022-10-05,1800000000,Other
Photo-Geometric Autoencoder,,2019-11-25,,Other
Phrase-based translation,,2003-05-01,9178890,Language
PhraseCond,,2017-10-28,,Language
Player of Games,,2021-12-06,,Games
Pluribus,,2019-07-11,,Games
PointNet,,2016-12-02,,Other
PointNet++,,2017-06-07,,Other
Pointer Sentinel-LSTM (medium),,2016-09-26,21000000,Language
PolyCoder,,2022-02-26,2700000000,Language
PolyNet,,2016-11-17,92000000,Vision
Population-based DRL,,2018-07-03,122000000,Games
Pragmatic Theory solution (Netflix 2009),,2009-08-01,,Other
PreTrans-3L-250H,,2013-03-22,43000000,Speech
ProBERTa,,2020-09-01,44000000,Biology
ProGen2-xlarge,,2022-06-27,6400000000,Biology
ProgressiveGAN,,2017-10-27,,Vision
Projected GAN,,2021-11-01,,Image generation
ProtBERT-BFD,,2021-05-04,420000000,Biology
ProtT5-XXL,,2021-05-04,11000000000,Biology
ProtT5-XXL-BFD,,2021-05-04,11000000000,Biology
ProteinBERT,,2022-02-10,16000000,Biology
ProteinDT,,2023-02-09,,Other
Prototypical networks,,2017-03-15,,Vision
ProxylessNAS,,2019-02-23,,Vision
PyramidNet,,2017-09-06,26000000,Vision
Q-learning,,1989-01-01,,Other
QMoE: compressed 1T model,,2023-10-25,1600000000000,Language
QRNN,,2018-02-01,135000000,Language
Qwen-72B,,2023-11-30,72000000000,Language
